,Bill Clinton Democratic,George H.W. Bush Republican,Ross Perot Independent,Andre Marrou Libertarian,Others,Top-2 margin (+/− if won by D/R),State Total,,,,,,,,,,,,,
State,E,Vote,%,E,Vote,%,E,Vote,%,,Vote,%,,Vote,%,,Vote,%,Vote,
Alabama,9,690080,40.88,–,804283,47.65,9,183109,10.85,,5737,0.34,,4851,0.29,,"−114,203",−6.77,1688060,AL
Alaska,3,78294,30.29,–,102000,39.46,3,73481,28.43,,1378,0.53,,3353,1.29,,"−23,706",−9.17,258506,AK
Arizona,8,543050,36.52,–,572086,38.47,8,353741,23.79,,6781,0.46,,11348,0.76,,"−29,036",−1.95,1487006,AZ
Arkansas,6,505823,53.21,6,337324,35.48,–,99132,10.43,,1261,0.13,,7113,0.75,,168499,17.72,950653,AR
California,54,5121325,46.01,54,3630574,32.61,–,2296006,20.63,,48139,0.43,,35677,0.32,,1490751,13.39,11131721,CA
Colorado,8,629681,40.13,8,562850,35.87,–,366010,23.32,,8669,0.55,,1970,0.13,,66831,4.26,1569180,CO
Connecticut,8,682318,42.21,8,578313,35.78,–,348771,21.58,,5391,0.33,,1539,0.1,,104005,6.43,1616332,CT
Delaware,3,126054,43.52,3,102313,35.78,–,59213,20.45,,935,0.32,,1105,0.38,,23741,8.2,289620,DE
D.C.,3,192619,84.64,3,20698,9.1,–,9681,4.25,,467,0.21,,4107,1.8,,171921,75.55,227572,DC
Florida,25,2072698,39,–,2173310,40.89,25,1053067,19.82,,15079,0.28,,238,0,,"−100,612",−1.89,5314392,FL
Georgia,13,1008966,43.47,13,995252,42.88,–,309657,13.34,,7110,0.31,,148,0.01,,13714,0.59,2321133,GA
Hawaii,4,179310,48.09,4,136822,36.7,–,53003,14.22,,1119,0.3,,2588,0.69,,42488,11.4,372842,HI
Idaho,4,137013,28.42,–,202645,42.03,4,130395,27.05,,1167,0.24,,10894,2.26,,"−65,632",−13.61,482114,ID
Illinois,22,2453350,48.58,22,1734096,34.34,–,840515,16.64,,9218,0.18,,12978,0.26,,719254,14.24,5050157,IL
Indiana,12,848420,36.79,–,989375,42.91,12,455934,19.77,,7936,0.34,,4206,0.18,,"−140,955",−6.11,2305871,IN
Iowa,7,586353,43.29,7,504891,37.27,–,253468,18.71,,1076,0.08,,8819,0.65,,81462,6.01,1354607,IA
Kansas,6,390434,33.74,–,449951,38.88,6,312358,26.99,,4314,0.37,,199,0.02,,"−59,517",−5.14,1157256,KS
Kentucky,8,665104,44.55,8,617178,41.34,–,203944,13.66,,4513,0.3,,2161,0.14,,47926,3.21,1492900,KY
Louisiana,9,815971,45.58,9,733386,40.97,–,211478,11.81,,3155,0.18,,26027,1.45,,82585,4.61,1790017,LA
Maine,4,263420,38.77,4,206504,30.39,–,206820,30.44,,1681,0.25,,1074,0.16,,56600,8.33,679499,ME
Maryland,10,988571,49.8,10,707094,35.62,–,281414,14.18,,4715,0.24,,3252,0.16,,281477,14.18,1985046,MD
Massachusetts,12,1318662,47.54,12,805049,29.03,–,632312,22.8,,7458,0.27,,10093,0.36,,513613,18.52,2773574,MA
Michigan,18,1871182,43.77,18,1554940,36.38,–,824813,19.3,,10175,0.24,,13563,0.32,,316242,7.4,4274673,MI
Minnesota,10,1020997,43.48,10,747841,31.85,–,562506,23.96,,3374,0.14,,13230,0.56,,273156,11.63,2347948,MN
Mississippi,7,400258,40.77,–,487793,49.68,7,85626,8.72,,2154,0.22,,5962,0.61,,"−87,535",−8.92,981793,MS
Missouri,11,1053873,44.07,11,811159,33.92,–,518741,21.69,,7497,0.31,,–,–,,242714,10.15,2391270,MO
Montana,3,154507,37.63,3,144207,35.12,–,107225,26.12,,986,0.24,,3658,0.89,,10300,2.51,410583,MT
Nebraska,5,217344,29.4,–,344346,46.58,5,174687,23.63,,1344,0.18,,1562,0.21,,"−127,002",−17.18,739283,NE
Nevada,4,189148,37.36,4,175828,34.73,–,132580,26.19,,1835,0.36,,6927,1.37,,13320,2.63,506318,NV
New Hampshire,4,209040,38.91,4,202484,37.69,–,121337,22.59,,3548,0.66,,806,0.15,,6556,1.22,537215,NH
New Jersey,15,1436206,42.95,15,1356865,40.58,–,521829,15.61,,6822,0.2,,21872,0.65,,79341,2.37,3343594,NJ
New Mexico,5,261617,45.9,5,212824,37.34,–,91895,16.12,,1615,0.28,,2035,0.36,,48793,8.56,569986,NM
New York,33,3444450,49.73,33,2346649,33.88,–,1090721,15.75,,13451,0.19,,31654,0.46,,1097801,15.85,6926925,NY
North Carolina,14,1114042,42.65,–,1134661,43.44,14,357864,13.7,,5171,0.2,,112,0,,"−20,619",−0.79,2611850,NC
North Dakota,3,99168,32.18,–,136244,44.22,3,71084,23.07,,416,0.14,,1221,0.4,,"−37,076",−12.03,308133,ND
Ohio,21,1984942,40.18,21,1894310,38.35,–,1036426,20.98,,7252,0.15,,17034,0.34,,90632,1.83,4939964,OH
Oklahoma,8,473066,34.02,–,592929,42.65,8,319878,23.01,,4486,0.32,,–,–,,"−119,863",−8.62,1390359,OK
Oregon,7,621314,42.48,7,475757,32.53,–,354091,24.21,,4277,0.29,,7204,0.49,,145557,9.95,1462643,OR
Pennsylvania,23,2239164,45.15,23,1791841,36.13,–,902667,18.2,,21477,0.43,,4661,0.09,,447323,9.02,4959810,PA
Rhode Island,4,213299,47.04,4,131601,29.02,–,105045,23.16,,571,0.13,,2961,0.65,,81698,18.02,453477,RI
South Carolina,8,479514,39.88,–,577507,48.02,8,138872,11.55,,2719,0.23,,3915,0.33,,"−97,993",−8.15,1202527,SC
South Dakota,3,124888,37.14,–,136718,40.66,3,73295,21.8,,814,0.24,,539,0.16,,"−11,830",−3.52,336254,SD
Tennessee,11,933521,47.08,11,841300,42.43,–,199968,10.09,,1847,0.09,,6002,0.3,,92221,4.65,1982638,TN
Texas,32,2281815,37.08,–,2496071,40.56,32,1354781,22.01,,19699,0.32,,1652,0.03,,"−214,256",−3.48,6154018,TX
Utah,5,183429,24.65,–,322632,43.36,5,203400,27.34,,1900,0.26,,32637,4.39,,"−119,232",−16.03,743998,UT
Vermont,3,133592,46.11,3,88122,30.42,–,65991,22.78,,501,0.17,,1495,0.52,,45470,15.7,289701,VT
