"","Hillary Clinton Democratic","Donald Trump Republican","Gary Johnson Libertarian","Jill Stein Green","Evan McMullin Independent","Others","Total"
"State or district","Electoral method","#","%","Electoral votes","#","%","Electoral votes","#","%","Electoral votes","#","%","Electoral votes","#","%","Electoral votes","#","%","Electoral votes","#","State","Status"
"Alabama","WTA","729,547","34.36%","–","1,318,255","62.08%","9","44,467","2.09%","–","9,391","0.44%","–","","","–","21,712","1.02%","–","2,123,372","AL","Official"
"Alaska","WTA","116,454","36.55%","–","163,387","51.28%","3","18,725","5.88%","–","5,735","1.80%","–","","","–","14,307","4.49%","–","318,608","AK","Official"
"Arizona","WTA","1,161,167","45.46%","–","1,252,401","49.03%","11","106,327","4.16%","–","34,345","1.34%","–","","","–","","","","2,554,240","AZ","Unofficial"
"Arkansas","WTA","380,494","33.65%","–","684,782","60.57%","6","29,829","2.64%","–","9,473","0.84%","–","13,255","1.17%","–","12,712","1.12%","–","1,130,635","AR","Official"
"California","WTA","8,696,374","62.28%","55","4,452,094","31.88%","–","474,615","3.40%","–","275,823","1.98%","–","","","–","65,507","0.47%","–","13,964,413","CA","Incomplete"
"Colorado","WTA","1,338,870","48.16%","9","1,202,484","43.25%","–","144,121","5.18%","–","38,437","1.38%","–","28,917","1.04%","–","27,391","0.99%","–","2,780,220","CO","Unofficial"
"Connecticut","WTA","897,572","54.57%","7","673,215","40.93%","–","48,676","2.96%","–","22,841","1.39%","–","2,108","0.13%","–","508","0.03%","–","1,644,920","CT","Official"
"Delaware","WTA","235,603","53.36%","3","185,127","41.92%","–","14,757","3.34%","–","6,103","1.38%","–","","","–","N/A","N/A","–","441,590","DE","Official"
"District of Columbia","WTA","282,830","90.48%","3","12,723","4.07%","–","4,906","1.57%","–","4,258","1.36%","–","","","–","7,858","2.52%","–","312,575","DC","Official"
"Florida","WTA","4,504,975","47.82%","–","4,617,886","49.02%","29","207,043","2.20%","–","64,399","0.68%","–","","","–","25,736","0.28%","–","9,420,039","FL","Official"
"Georgia","WTA","1,877,963","45.89%","–","2,089,104","51.05%","16","125,306","3.06%","–","","","–","","","–","N/A","N/A","–","4,092,373","GA","Official"
