,Barack Obama Democratic,Mitt Romney Republican,Gary Johnson Libertarian,Jill Stein Green,Others,Margin,Total,,,,,,,,,,,,,
State or district,Electoral method,#,%,Electoral votes,#,%,Electoral votes,#,%,Electoral votes,#,%,Electoral votes,#,%,Electoral votes,#,%,#,
Alabama,WTA,795696,38.36%,–,1255925,60.55%,9,12328,0.59%,–,3397,0.16%,–,6992,0.34%,–,"−460,229",−22.19%,2074338,AL
Alaska,WTA,122640,40.81%,–,164676,54.80%,3,7392,2.46%,–,2917,0.97%,–,2870,0.96%,–,"−42,036",−13.99%,300495,AK
Arizona,WTA,1025232,44.59%,–,1233654,53.65%,11,32100,1.40%,–,7816,0.34%,–,452,0.02%,–,"−208,422",−9.06%,2299254,AZ
Arkansas,WTA,394409,36.88%,–,647744,60.57%,6,16276,1.52%,–,9305,0.87%,–,1734,0.16%,–,"−253,335",−23.69%,1069468,AR
California,WTA,7854285,60.24%,55,4839958,37.12%,–,143221,1.10%,–,85638,0.66%,–,115445,0.89%,–,3014327,23.12%,13038547,CA
Colorado,WTA,1323102,51.49%,9,1185243,46.13%,–,35545,1.38%,–,7508,0.29%,–,18123,0.71%,–,137858,5.37%,2569520,CO
Connecticut,WTA,905083,58.06%,7,634892,40.73%,–,12580,0.81%,–,863,0.06%,–,5542,0.36%,–,270191,17.33%,1558960,CT
Delaware,WTA,242584,58.61%,3,165484,39.98%,–,3882,0.94%,–,1940,0.47%,–,31,0.01%,–,77100,18.63%,413921,DE
District of Columbia,WTA,267070,90.91%,3,21381,7.28%,–,2083,0.71%,–,2458,0.84%,–,772,0.26%,–,245689,83.63%,293764,DC
Florida,WTA,4237756,50.01%,29,4163447,49.13%,–,44726,0.53%,–,8947,0.11%,–,19303,0.23%,–,74309,0.88%,8474179,FL
Georgia,WTA,1773827,45.48%,–,2078688,53.30%,16,45324,1.16%,–,1516,0.04%,–,695,0.02%,–,"−304,861",−7.82%,3900050,GA
Hawaii,WTA,306658,70.55%,4,121015,27.84%,–,3840,0.88%,–,3184,0.73%,–,0,0.00%,–,185643,42.71%,434697,HI
Idaho,WTA,212787,32.62%,–,420911,64.53%,4,9453,1.45%,–,4402,0.67%,–,4721,0.72%,–,"−208,124",−31.91%,652274,ID
Illinois,WTA,3019512,57.60%,20,2135216,40.73%,–,56229,1.07%,–,30222,0.58%,–,835,0.02%,–,884296,16.87%,5242014,IL
Indiana,WTA,1152887,43.93%,–,1420543,54.13%,11,50111,1.91%,–,625,0.02%,–,368,0.01%,–,"−267,656",−10.20%,2624534,IN
Iowa,WTA,822544,51.99%,6,730617,46.18%,–,12926,0.82%,–,3769,0.24%,–,12324,0.78%,–,91927,5.81%,1582180,IA
Kansas,WTA,440726,37.99%,–,692634,59.71%,6,20456,1.76%,–,714,0.06%,–,5441,0.47%,–,"−251,908",−21.72%,1159971,KS
Kentucky,WTA,679370,37.80%,–,1087190,60.49%,8,17063,0.95%,–,6337,0.35%,–,7252,0.40%,–,"−407,820",−22.69%,1797212,KY
